product_name,price,category,tags,description,link
RGB Gaming Mouse,45,Gaming,"gaming, tech, rgb, mouse","Perfect for gamers who love responsive controls and flashy RGB lighting",https://amazon.com/gaming-mouse
Wireless Earbuds,79,Tech,"music, tech, wireless, portable","Great sound quality for music lovers on the go",https://amazon.com/wireless-earbuds
Skincare Set,65,Beauty,"beauty, skincare, self-care, routine","Pamper yourself with this complete skincare routine",https://amazon.com/skincare-set
Coffee Subscription,50,Food,"coffee, subscription, morning, caffeine","Monthly coffee delivery for the caffeine addict",https://amazon.com/coffee-subscription
Fitness Tracker,89,Health,"fitness, health, tracking, sports","Track your workouts and stay motivated",https://amazon.com/fitness-tracker
Plant Starter Kit,35,Home,"plants, home, green, care","Perfect for those wanting to start their plant parent journey",https://amazon.com/plant-kit
Art Supplies Set,42,Creative,"art, creative, drawing, hobby","Everything needed to start creating amazing artwork",https://amazon.com/art-supplies
Board Game Collection,58,Entertainment,"games, friends, social, fun","Perfect for game nights with friends",https://amazon.com/board-games
Yoga Mat,38,Health,"yoga, fitness, meditation, wellness","High-quality mat for yoga and meditation practice",https://amazon.com/yoga-mat
Smart Phone Stand,25,Tech,"phone, stand, desk, convenience","Keep your phone at perfect viewing angle",https://amazon.com/phone-stand
Scented Candles Set,32,Home,"candles, relaxation, ambiance, scent","Create a cozy atmosphere at home",https://amazon.com/candles
Bookstore Gift Card,50,Books,"books, reading, literature, gift-card","Let them choose their next favorite read",https://amazon.com/gift-card
Portable Speaker,67,Tech,"music, speaker, portable, bluetooth","Take your music anywhere with this compact speaker",https://amazon.com/portable-speaker
Journal & Pen Set,28,Stationery,"writing, journal, thoughts, creativity","Perfect for daily reflections and creative writing",https://amazon.com/journal-set
Gourmet Chocolate Box,41,Food,"chocolate, sweet, gourmet, treat","Indulgent chocolates for special moments",https://amazon.com/chocolate-box
Travel Mug,33,Lifestyle,"travel, coffee, mug, commute","Keep drinks hot during busy days",https://amazon.com/travel-mug
Photography Prints,55,Art,"photography, art, wall, decoration","Beautiful prints to decorate any space",https://amazon.com/photo-prints
Cooking Utensils Set,47,Kitchen,"cooking, kitchen, utensils, culinary","Essential tools for cooking enthusiasts",https://amazon.com/cooking-utensils
Meditation App Subscription,36,Wellness,"meditation, mindfulness, mental-health, app","Guided meditation for inner peace",https://headspace.com/gift
Socks Collection,24,Fashion,"socks, fashion, comfort, fun","Quirky and comfortable socks for every day",https://amazon.com/fun-socks
DIY Craft Kit,52,Creative,"craft, diy, creative, hands-on","Everything needed for a fun crafting project",https://amazon.com/craft-kit
Tea Variety Pack,39,Food,"tea, variety, relaxation, beverages","Explore different tea flavors and find favorites",https://amazon.com/tea-pack
Portable Charger,44,Tech,"charger, portable, phone, battery","Never run out of battery on important moments",https://amazon.com/portable-charger
Sunglasses,62,Fashion,"sunglasses, style, protection, fashion","Stylish eye protection for sunny days",https://amazon.com/sunglasses
Science Experiment Kit,48,Education,"science, experiment, learning, fun","Hands-on learning with cool experiments",https://amazon.com/science-kit
Essential Oils Set,56,Wellness,"oils, aromatherapy, relaxation, wellness","Natural scents for relaxation and wellness",https://amazon.com/essential-oils
Gaming Chair Cushion,71,Gaming,"gaming, comfort, chair, ergonomic","Extra comfort for long gaming sessions",https://amazon.com/chair-cushion
Wallet,43,Fashion,"wallet, fashion, practical, style","Stylish and practical for everyday use",https://amazon.com/wallet
Desk Organizer,31,Office,"desk, organization, office, productivity","Keep workspace tidy and organized",https://amazon.com/desk-organizer
Snack Box Subscription,45,Food,"snacks, subscription, variety, monthly","Monthly delivery of unique snacks to try",https://amazon.com/snack-box
Blue Light Glasses,37,Health,"glasses, blue-light, eyes, screen","Protect eyes from screen strain",https://amazon.com/blue-light-glasses
Mini Projector,84,Tech,"projector, entertainment, movies, portable","Turn any wall into a movie screen",https://amazon.com/mini-projector
Planner & Stickers,29,Stationery,"planner, organization, stickers, productivity","Stay organized with style and fun stickers",https://amazon.com/planner-stickers
Herbal Bath Salts,34,Wellness,"bath, relaxation, herbal, self-care","Relaxing bath experience with natural herbs",https://amazon.com/bath-salts
